epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,11176.3,0.66527,0.83646,1.06318,0.99492,0.97368,0.99423,0.98642,0.0424,0.33231,0.03448,0.00061705,0.00061705,0.00061705
117,11266.4,0.62749,0.79174,0.9542,0.98022,0.97368,0.99047,0.92939,0.04875,0.24306,0.04022,0.00061372,0.00061372,0.00061372
118,11357.9,0.76328,0.87309,1.10717,0.99261,0.98246,0.98991,0.97224,0.04476,0.33969,0.03605,0.00061039,0.00061039,0.00061039
119,11447.8,0.66482,0.83835,1.01765,0.97329,0.959,0.98703,0.95998,0.04494,0.24238,0.03782,0.00060706,0.00060706,0.00060706
120,11538.3,0.69272,0.83542,1.08244,0.95705,0.97725,0.9919,0.96477,0.04716,0.20328,0.039,0.00060373,0.00060373,0.00060373
121,11628.9,0.66903,0.79741,1.05821,0.972,0.97368,0.99366,0.96335,0.06064,0.18608,0.04374,0.0006004,0.0006004,0.0006004
122,11722.2,0.70741,0.83186,1.04798,0.98773,0.98246,0.99026,0.91773,0.05261,0.24884,0.04129,0.00059707,0.00059707,0.00059707
123,11814.8,0.67061,0.86724,1.05575,0.9824,1,0.995,0.98967,0.05074,0.30762,0.03826,0.00059374,0.00059374,0.00059374
124,11909.3,0.64487,0.85842,1.04932,0.98238,0.97828,0.99399,0.97337,0.05954,0.43196,0.04313,0.00059041,0.00059041,0.00059041
125,12000.9,0.66809,0.88854,1.06979,0.98851,0.97368,0.99352,0.90547,0.05725,0.49985,0.04219,0.00058708,0.00058708,0.00058708
126,12092,0.6906,0.8066,1.08328,0.9741,0.98985,0.99448,0.99197,0.03699,0.50257,0.03286,0.00058375,0.00058375,0.00058375
127,12183,0.63165,0.87281,1.00236,0.997,0.98246,0.99474,0.89979,0.0609,0.37877,0.04392,0.00058042,0.00058042,0.00058042
128,12274.5,0.62856,0.74725,1.05296,0.99118,0.98588,0.99491,0.89502,0.06505,0.44344,0.04543,0.00057709,0.00057709,0.00057709
129,12365,0.60872,0.80328,1.01213,0.98647,0.96491,0.99341,0.97841,0.04019,0.5947,0.03246,0.00057376,0.00057376,0.00057376
130,12456.8,0.64743,0.82111,1.00029,1,0.97924,0.99466,0.92348,0.04629,0.31429,0.03723,0.00057043,0.00057043,0.00057043
131,12549.3,0.64991,0.78514,1.04462,0.97731,0.98246,0.99423,0.95389,0.0508,0.23406,0.03931,0.0005671,0.0005671,0.0005671
132,12639.8,0.65964,0.76623,1.02339,0.99105,0.97186,0.98891,0.94535,0.05589,0.19015,0.03971,0.00056377,0.00056377,0.00056377
133,12730.8,0.67806,0.72987,1.05267,0.997,0.98246,0.99404,0.93253,0.0573,0.23531,0.04201,0.00056044,0.00056044,0.00056044
134,12821.3,0.70508,0.87782,1.05177,0.99858,0.97368,0.98949,0.9819,0.04109,0.37414,0.03651,0.00055711,0.00055711,0.00055711
135,12913,0.60447,0.72978,0.96473,0.99105,0.97131,0.98872,0.97729,0.04967,0.21845,0.04103,0.00055378,0.00055378,0.00055378
136,13006.7,0.64532,0.74148,1.02459,0.97789,0.96491,0.98857,0.96223,0.04584,0.18964,0.04192,0.00055045,0.00055045,0.00055045
137,13099.7,0.69534,0.82236,1.05183,0.99664,0.97368,0.99267,0.98207,0.04613,0.17725,0.03927,0.00054712,0.00054712,0.00054712
138,13192.7,0.62111,0.72933,0.97297,0.98115,0.99123,0.99474,0.92743,0.06187,0.27486,0.04853,0.00054379,0.00054379,0.00054379
139,13284.5,0.62507,0.75799,1.02311,0.98023,0.97368,0.99387,0.92526,0.05923,0.15208,0.0515,0.00054046,0.00054046,0.00054046
140,13378.1,0.65433,0.77896,1.03385,0.99043,0.98246,0.99198,0.97977,0.03864,0.15938,0.03621,0.00053713,0.00053713,0.00053713
141,13468,0.61873,0.79343,0.99227,0.99751,0.98246,0.99434,0.97306,0.04569,0.15615,0.03784,0.0005338,0.0005338,0.0005338
142,13558.3,0.58298,0.89644,0.9663,1,0.97846,0.99442,0.96728,0.04448,0.19196,0.03999,0.00053047,0.00053047,0.00053047
143,13651,0.60556,0.75727,1.02081,0.99885,0.99123,0.995,0.98472,0.04207,0.23467,0.03557,0.00052714,0.00052714,0.00052714
144,13743.2,0.65252,0.76808,1.03518,0.99486,0.98246,0.99458,0.98065,0.04447,0.17677,0.03527,0.00052381,0.00052381,0.00052381
145,13835.5,0.72012,0.81513,1.11881,0.99738,1,0.995,0.97268,0.05853,0.18228,0.04353,0.00052048,0.00052048,0.00052048
146,13927,0.60471,0.77337,0.99169,0.98244,0.98246,0.9908,0.97348,0.05251,0.24278,0.03744,0.00051715,0.00051715,0.00051715
147,14018.9,0.61798,0.76106,1.01993,0.987,0.98246,0.99373,0.9719,0.05358,0.18028,0.04152,0.00051382,0.00051382,0.00051382
148,14109.5,0.58741,0.73977,1.0031,0.99724,0.98246,0.99404,0.99026,0.03801,0.17353,0.03518,0.00051049,0.00051049,0.00051049
149,14202.1,0.61064,0.7197,1.0244,0.99666,0.98246,0.9939,0.98489,0.04594,0.15535,0.03843,0.00050716,0.00050716,0.00050716
150,14298.1,0.62295,0.65132,1.01326,0.99084,0.98246,0.9939,0.98596,0.049,0.28409,0.03676,0.00050383,0.00050383,0.00050383
151,14390.3,0.59832,0.66519,0.9994,0.98588,0.98246,0.99466,0.98004,0.04277,0.17041,0.03613,0.0005005,0.0005005,0.0005005
152,14482.6,0.53932,0.67753,0.98309,0.98275,0.99965,0.99491,0.9947,0.04059,0.23452,0.03247,0.00049717,0.00049717,0.00049717
153,14574.2,0.55208,0.70024,0.94258,1,0.99713,0.995,0.99115,0.04043,0.19662,0.03474,0.00049384,0.00049384,0.00049384
154,14670.6,0.61998,0.76451,1.02214,0.99238,0.96491,0.99269,0.98239,0.03803,0.13786,0.03602,0.00049051,0.00049051,0.00049051
155,14763,0.6039,0.73238,0.99971,0.98879,0.98246,0.99419,0.99419,0.03389,0.21662,0.03279,0.00048718,0.00048718,0.00048718
156,14852.1,0.56071,0.62578,0.96928,0.98653,0.98246,0.99456,0.99132,0.03673,0.26447,0.03143,0.00048385,0.00048385,0.00048385
157,14942.4,0.59032,0.66172,1.02032,0.98881,0.98246,0.99474,0.99413,0.03676,0.27509,0.03062,0.00048052,0.00048052,0.00048052
158,15032.2,0.59749,0.66131,0.99888,0.99744,1,0.995,0.98092,0.04614,0.20244,0.03595,0.00047719,0.00047719,0.00047719
159,15121.5,0.622,0.70836,1.04325,0.98065,0.98246,0.99367,0.96335,0.05053,0.15051,0.03931,0.00047386,0.00047386,0.00047386
160,15210.4,0.60518,0.76346,1.01055,0.98993,0.99123,0.99456,0.98586,0.04487,0.18595,0.03697,0.00047053,0.00047053,0.00047053
161,15299.7,0.61039,0.68655,1.0155,0.99779,0.98246,0.99474,0.98502,0.04507,0.13033,0.0359,0.0004672,0.0004672,0.0004672
